,lat,lon
7911,37.55112901307957,127.05031675498006
7912,37.55073127880741,127.05209617015127
7913,37.55058778688007,127.05286095223327
7914,37.54971101920461,127.0516981529103
7922,37.54949551432672,127.05173274217778
7923,37.54965899768383,127.05156244595427
8004,37.537703765982215,127.05971199960196
8047,37.557580221386864,127.04075291135928
8067,37.5490801563016,127.02873924321248
8074,37.5491905789224,127.02888009623004
8139,37.56117183992056,127.04834250574852
8140,37.5610940589238,127.04807588724243
8152,37.55230725987701,127.02503834463396
8153,37.548259525042766,127.02138432955635
8162,37.54636715328967,127.01873738435408
8164,37.559056338661065,127.01884127667924
8165,37.5591411630872,127.01873012748902
8166,37.557894547030855,127.01912980398984
8173,37.54813938585661,127.02597200893948
8174,37.54830481231752,127.02563088660956
8181,37.54988794015546,127.03040500860948
8182,37.54988090545673,127.03082114136195
8185,37.5481686753992,127.02352373062436
8186,37.55188673731718,127.02089837072452
8187,37.5485027185038,127.0195455762926
8188,37.54831761982952,127.0198133884948
8189,37.54832689013923,127.01932135237836
8190,37.54813085884035,127.0212082385369
8191,37.54822815915546,127.02200456600384
8205,37.557991632720736,127.03075039037508
8206,37.56729449783031,127.05177774282028
8220,37.56624016931739,127.04513977032784
8228,37.55767005280415,127.02991308845203
8229,37.55773181565053,127.03007849257816
8230,37.55772025980991,127.030490786136
8232,37.56088015758445,127.04595029937764
8233,37.561166316812745,127.04425428712835
8275,37.55437179636112,127.02033673303742
8276,37.55439956008805,127.02002518046704
8277,37.55302853966091,127.0193798898154
8290,37.552977608237576,127.01953166241412
8291,37.55284752291767,127.01941174044156
8300,37.55600929055357,127.01744500386584
8316,37.56573958161759,127.04004180237985
8327,37.56412338104828,127.0417314742022
8390,37.54355756811182,127.05895194396314
8396,37.5709547959005,127.0469601362098
8410,37.559299393919424,127.02365336674929
8411,37.55879136725928,127.02362641873088
8417,37.55665770040176,127.02835364079942
8435,37.53949065417799,127.05505510773249
8436,37.542093268300704,127.05622764888678
8437,37.54227836108219,127.05630554272912
8438,37.54280907026824,127.05414574792518
8481,37.54571561363295,127.05225435126115
8482,37.54722867053432,127.05087137028865
8483,37.54608933509603,127.050277475986
8498,37.54318966994589,127.04932726504492
8499,37.54339757856443,127.04932180061544
8501,37.546450376666606,127.05042299532786
8502,37.54622154214004,127.05057814305196
8508,37.55974637621405,127.04119793426216
