,lat,lon
2096,37.54673256409696,126.96309748280396
2097,37.54675821370472,126.9628846083435
2098,37.546790657554354,126.96345008997032
2195,37.54690016420377,126.98122832828732
2196,37.54701106011612,126.9811981699918
2197,37.54661059225416,126.98086411526717
2210,37.52422429054151,126.96426649822897
2275,37.52219810267835,126.99343918498904
2276,37.522052222259454,126.99346087422212
2277,37.521634020417615,126.99356153283806
2291,37.52141638987349,126.99359895432217
2292,37.52121084203326,126.99363388252505
2293,37.52065846195269,126.99373207957429
2374,37.530540484592166,126.96894321498256
2406,37.53900939981991,126.97069734319798
2410,37.55203124168506,127.0017617650806
2422,37.54435841318172,126.95778434948268
2429,37.54465789444685,126.98664827108706
2445,37.54881062724446,126.9821616870234
2455,37.55391706907648,126.9690407371918
2542,37.530921576365664,126.9698007459492
2705,37.55242262004687,126.98223257929828
2706,37.55233083159743,126.98226201434386
2911,37.54182017807703,126.95570219404154
2921,37.54057877584744,126.955532209464
2955,37.53542121687863,126.96211653063484
2956,37.53597405625949,126.96281314121428
3243,37.533316567799766,126.96328889807911
3244,37.53316939376179,126.96134126875364
3245,37.53305808269442,126.95890608665422
3272,37.53314089835058,126.96187316000476
3273,37.53327481299903,126.96164181099384
3342,37.55726321046732,126.9684158086409
3353,37.556612617946016,126.9745789142739
3371,37.55421924557317,126.96559299597472
3392,37.548349862161714,126.96344349393456
3393,37.548398657720256,126.96350981156976
3400,37.53975555339076,126.95696179076668
3401,37.53979827943881,126.95714100629536
3416,37.53423368316484,126.94973071586242
3417,37.53412745454057,126.95037625445804
3418,37.53392974446092,126.9505450268896
3424,37.53778327507131,126.94740655747977
3436,37.53034329306562,126.96930388447744
3451,37.54282014206425,126.96224166998805
3452,37.54340594622622,126.96234797801549
3491,37.55153900850608,127.00114309830704
3492,37.55155260802838,127.00058317469178
3493,37.55119141830352,127.0007452083417
3509,37.5452131597789,126.97345845880392
3528,37.53480754464323,126.9488983521359
3529,37.52294000029674,126.9719889304402
3560,37.53015418048346,126.95323627459352
3568,37.51999236815583,126.97337161599611
3569,37.51962996947184,126.97451048554338
3583,37.54528598370722,126.9733158631622
3705,37.51925659173967,126.9756807650624
3706,37.5188288389629,126.97704069327852
3707,37.51888071266165,126.97720332761
3722,37.51924709415928,126.97643229083484
3747,37.52161293711953,126.97300271732848
3748,37.52158643366864,126.97310906062944
3750,37.54549931899109,126.97528260410836
3757,37.521344158037145,126.97385428199128
3758,37.52107649531345,126.9744962815966
3761,37.52083215192823,126.97543816428396
3772,37.52153854656295,126.97301133927826
3781,37.53219352632139,126.9710115515871
3782,37.53187910475385,126.9707113202439
3783,37.53156403464984,126.97041046200437
3784,37.531428662339465,126.96977428810789
3785,37.52825693187646,126.99269762549204
3797,37.53124289665868,126.97010339053952
3806,37.52849204275046,126.99259170676044
3856,37.53251722278468,126.97130687917328
3891,37.51969509935928,126.97463863642956
3892,37.51988630227292,126.974036754535
3893,37.52001420283605,126.97396258594614
3894,37.51950738393477,126.97523667765662
4003,37.52058060283039,126.97622577557438
7651,37.55038732423283,126.97728749685344
7652,37.55096527461689,126.97721917192683
